	off	normed	Person	Related Person	Regest	Year	Date	from	to
177	rats der stat	Ratsherr	pe__klaus_preuzz_QGW_II_I_1574	org__wien	1574	1404	1404-01-26		
178	aussern rats der stat	Ratsherr_aeusserer	pe__georg_von_nikolsburg	org__wien	1574	1404	1404-01-26		
179	aussern rats der stat	Ratsherr_aeusserer	pe__jakob_der_wachsgiesser_QGW_II_I_1403	org__wien	1574	1404	1404-01-26		
180	burgermaister	Buergermeister	pe__konrad_vorlauf	org__wien	1575	1404	1404-01-29		
181	rats der stat	Ratsherr	pe__jakob_guens_ii	org__wien	1575	1404	1404-01-29		
182	rats der stat	Ratsherr	pe__klaus_preuzz_QGW_II_I_1574	org__wien	1575	1404	1404-01-29		
183	aussern rats der stat	Ratsherr_aeusserer	pe__georg_von_nikolsburg	org__wien	1575	1404	1404-01-29		
184	aussern rats der stat	Ratsherr_aeusserer	pe__jakob_der_wachsgiesser_QGW_II_I_1403	org__wien	1575	1404	1404-01-29		
185	rates der stat	Ratsherr	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1577	1404	1404-02-18		
186	rates der stat	Ratsherr	pe__albrecht_zetter	org__wien	1577	1404	1404-02-18		
187	Bürgermeisters	Buergermeister	pe__konrad_vorlauf	org__wien	1579	1404	1404-04-19		
188	rats	Ratsherr	pe__ulrich_im_turn_QGW_II_I_1583	org__klosterneuburg	1583	1404	1404-04-23		
189	hofmaister	Hofmeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__herzog	1584	1404	1404-05-06		
190	pharrer	Pfarrer	pe__ulrich_QGW_II_I_1584	org__dornbach_pfarre	1584	1404	1404-05-06		
191	rats der stat	Ratsherr	pe__rüdiger_snurer	org__wien	1585	1404	1404-05-28		
192	rats der stat	Ratsherr	pe__johann_chaufmann_QGW_II_I_1585	org__wien	1585	1404	1404-05-28		
193	werchmann	Gewaehrsmann	pe__ulrich_warnhofer_QGW_II_I_1538	org__wien	1585	1404	1404-05-28		
194	werchmann	Gewaehrsmann	pe__peter_der_zimmermann_QGW_II_I_1538	org__wien	1585	1404	1404-05-28		
195	statschreiber	Stadtschreiber	pe__ulrich_herwart	org__wien	1586	1404	1404-05-28		
196	comiteur	Komiteur	pe__thomas_QGW_II_I_1587	org__deutsche_herren	1587	1404	1404-06-09		
197	rates der stat	Ratsherr	pe__johann_ziernast	org__wien	1587	1404	1404-06-09		
198	rates der stat	Ratsherr	pe__konrad_rampersdorfer	org__wien	1587	1404	1404-06-09		
199	rats der stat	Ratsherr	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1589	1404	1404-07-02		
200	rats der stat	Ratsherr	pe__rudolf_angerfelder	org__wien	1589	1404	1404-07-02		
201	werchmann	Gewaehrsmann	pe__ulrich_warnhofer_QGW_II_I_1538	org__wien	1589	1404	1404-07-02		
202	werchmann	Gewaehrsmann	pe__peter_der_zimmermann_QGW_II_I_1538	org__wien	1589	1404	1404-07-02		
203	herzog	Herzog_in	pe__albrecht_iv_herzog_von_oesterreich	org__oesterreich_herzogtum	1590	1404	1404-07-31		
204	statrichter	Richter_Stadt	pe__peter_angerfelder	org__wien	1591	1404	1404-08-27		
205	Kaplan	Kaplan	pe__liebhard_von_regensburg_QGW_II_I_1591	org__st_stephan	1591	1404	1404-08-27		
206	Bürgermeisters	Buergermeister	pe__konrad_vorlauf	org__wien	1592	1404	1404-09-04		
207	Kaplan	Kaplan	pe__friedrich_frosch	org__st_stephan	1592	1404	1404-09-04		
208	anwalt in dem rat	Anwalt_Stadt	pe__johann_von_velden	pe__wilhelm_herzog_von_oesterreich	1595	1404	1404-10-13		
209	purgermaister	Buergermeister	pe__konrad_vorlauf	org__wien	1595	1404	1404-10-13		
210	rats der stat	Ratsherr	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1595	1404	1404-10-13		
211	chelermaister	Kellermeister	pe__andreas_an_dem_st_petersfreithof	org__oesterreich_herzogtum	1595	1404	1404-10-13		
212	rats der stat	Ratsherr	pe__rudolf_angerfelder	org__wien	1595	1404	1404-10-13		
213	lantmarschall	Landmarschall	pe__friedrich_von_wallsee	org__oesterreich_herzogtum	1595	1404	1404-10-13		
214	statrichter	Richter_Stadt	pe__peter_angerfelder	org__wien	1596	1404	1404-10-14		
215	anwalt in dem rat	Anwalt_Stadt	pe__johann_von_velden	pe__wilhelm_herzog_von_oesterreich	1596	1404	1404-10-14		
216	purgermaister	Buergermeister	pe__konrad_vorlauf	org__wien	1596	1404	1404-10-14		
217	rats der stat	Ratsherr	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1596	1404	1404-10-14		
218	chelermaister	Kellermeister	pe__andreas_an_dem_st_petersfreithof	org__oesterreich_herzogtum	1596	1404	1404-10-14		
219	rats der stat	Ratsherr	pe__rudolf_angerfelder	org__wien	1596	1404	1404-10-14		
220	rats der stat	Ratsherr	pe__johann_ziernast	org__wien	1597	1404	1404-10-25		
221	Bürgermeisters	Buergermeister	pe__konrad_vorlauf	org__wien	1597	1404	1404-10-25		
222	Bürgermeisters	Buergermeister	pe__konrad_vorlauf	org__wien	1598	1404	1404-10-25		
223	statrichter	Richter_Stadt	pe__peter_angerfelder	org__wien	1599	1404	1404-10-29		
224	statrichter	Richter_Stadt	pe__peter_angerfelder	org__wien	1600	1404	1404-10-29		
225	statrichter	Richter_Stadt	pe__peter_angerfelder	org__wien	1601	1404	1404-10-29		
226	statrichter	Richter_Stadt	pe__peter_angerfelder	org__wien	1602	1404	1404-10-29		
227	aussern rats der stat	Ratsherr_aeusserer	pe__martin_hausleitter	org__wien	1603	1404	1404-11-04		
228	Bürgermeisters	Buergermeister	pe__konrad_vorlauf	org__wien	1603	1404	1404-11-04		
229	vogt	Vogt	pe__johann_teschinger_QGW_II_I_1604	org__augsburg	1604	1404	1404-11-06		
230	Bürgermeisters	Buergermeister	pe__paul_wuerfel	org__wien	1606	1404	1404-12-11		
231	aussern rats der stat	Ratsherr_aeusserer	pe__georg_von_nikolsburg	org__wien	1606	1404	1404-12-11		
232	cantor	Kantor	pe__peter_QGW_II_I_1554	org__st_stephan	1607	1404	1404-12-13		
233	kaplan	Kaplan	pe__peter_QGW_II_I_1554	org__st_stephan	1607	1404	1404-12-13		
234	rats der stat	Ratsherr	pe__georg_von_nikolsburg	org__wien	1607	1404	1404-12-13		
235	curherr	Kanoniker	pe__niklas_rot	org__st_stephan	1608	1404	1404-12-15		
236	pharrer	Pfarrer	pe__niklas_rot	org__st_paul_erdberg	1608	1404	1404-12-15		
237	rats der stat	Ratsherr	pe__paul_geir	org__wien	1608	1404	1404-12-15		
238	purgermaister	Buergermeister	pe__paul_wuerfel	org__wien	1609	1404	1404-12-16		
