	ID	sex	off	norm	related ID	rel_sex	collection	xml	year	date	from	to
40	pe__stephan_von_asbach_QGW_II_I_1437	m	curherr	Kanoniker	org__wien-st_stephan	 	1_1395-1400	448.xml	1399	1399-11-15		
41	pe__bernhard_tuchberaiter_QGW_II_I_1601	m	gesworner des rats	Ratsherr	org__wien	 	1_1395-1400	448.xml	1399	1399-11-15		
42	pe__ulrich_helbling_ii_QGW_II_I_1414	m	pawmaister	 	org__wien-st_stephan	 	1_1395-1400	448.xml	1399	1399-11-15		
43	pe__thomas_QGW_II_I_948	m	guster	 	org__wien-st_stephan	 	1_1395-1400	448.xml	1399	1399-11-15		
44	pe__johann_StB_I_45	m	pharrer	Pfarrer	org__hainfeld-pfarre	 	1_1395-1400	45.xml	1396	1396-03-18		
45	pe__paul_StB_I_45	m	pharrer	Pfarrer	org__theras-pfarre	 	1_1395-1400	45.xml	1396	1396-03-18		
46	pe__anton_QGW_II_I_1223	m	brobst	Propst	org__wien-st_stephan	 	1_1395-1400	45.xml	1396	1396-03-18		
47	pe__niklas_alt_kammerschreiber_StB_I_48	m	der alt Chamerschreiber	 	org__oesterreich-herzogtum	 	1_1395-1400	48.xml	1396	1396-03-21		
48	pe__niklas_StB_I_49	m	die zeit chappelan ze Sand Jacob auf der Hulben ze Wienn	 	org__wien-st_jakob_auf_der_huelben	 	1_1395-1400	49.xml	1396	1396-04-01		
49	pe__johann_StB_I_49_b	m	die zeit pharrer ze Greyn	 	org__grein-pfarre	 	1_1395-1400	49.xml	1396	1396-04-01		
